"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 28-Feb-2024","1W AGO 
 23-Feb-2024","1M AGO 
 30-Jan-2024","1Y AGO 
 01-Mar-2023","52W H 
","52W L 
","365 D % CHNG 
 01-Mar-2023","30 D % CHNG 
 30-Jan-2024"
"NIFTY 50","22,307.30","1.48","22,048.30","22,319.30","22,047.75","21,982.80","21,951.15","22,212.70","21,522.10","17,450.90","22,297.50","16,828.35","25.97","2.14"
"NIFTY NEXT 50","59,366.80","0.64","59,315.40","59,490.65","59,213.70","58,991.35","58,387.30","59,153.75","54,826.20","37,686.65","59,633.60","36,895.65","56.53","7.60"
"NIFTY 100","22,828.60","1.34","22,605.70","22,841.60","22,604.65","22,526.30","22,457.65","22,734.30","21,846.20","17,238.45","22,804.80","16,696.25","30.67","3.11"
"NIFTY 200","12,312.95","1.25","12,206.00","12,319.95","12,205.35","12,160.45","12,119.45","12,292.45","11,829.60","9,053.30","12,327.65","8,767.55","34.32","2.80"
"NIFTY 500","20,321.85","1.15","20,171.90","20,332.50","20,171.00","20,090.05","20,020.40","20,313.50","19,574.20","14,664.85","20,365.65","14,177.50","36.99","2.64"
"NIFTY MIDCAP 50","13,881.85","0.99","13,799.85","13,896.45","13,795.80","13,745.85","13,618.25","14,062.20","13,476.35","8,567.70","14,141.00","8,194.60","60.44","2.00"
"NIFTY MIDCAP 100","48,715.65","0.79","48,574.95","48,751.15","48,517.45","48,335.70","48,089.10","49,279.55","47,791.95","30,584.10","49,780.65","29,200.20","58.04","1.14"
"NIFTY SMALLCAP 100","16,053.30","0.48","16,076.05","16,133.70","16,025.70","15,976.20","15,875.15","16,175.20","15,673.80","9,278.00","16,691.60","8,682.00","72.19","1.93"
"INDIA VIX","15.56","-0.09","15.57","15.64","15.13","15.57","16.33","14.97","16.10","13.00","17.36","8.18","19.83","-3.29"
"NIFTY MIDCAP 150","17,948.25","0.66","17,925.05","17,982.15","17,890.75","17,831.10","17,749.00","18,149.05","17,607.15","11,572.20","18,345.10","11,016.50","54.09","1.27"
"NIFTY SMALLCAP 50","7,380.90","0.40","7,397.45","7,430.50","7,365.45","7,351.65","7,315.75","7,514.55","7,263.30","4,181.65","7,731.60","3,984.65","75.81","1.22"
"NIFTY SMALLCAP 250","15,053.70","0.59","15,057.55","15,104.20","15,028.95","14,965.05","14,895.25","15,169.50","14,749.95","9,035.05","15,489.50","8,492.40","65.63","1.46"
"NIFTY MIDSMALLCAP 400","16,951.90","0.63","16,939.40","16,990.70","16,908.50","16,845.15","16,767.25","17,120.40","16,622.65","10,659.55","17,362.20","10,106.00","58.03","1.34"
"NIFTY500 MULTICAP 50:25:25","14,029.90","0.98","13,958.50","14,036.75","13,957.90","13,894.00","13,840.45","14,068.00","13,592.25","9,593.80","14,101.55","5,531.55","44.82","2.22"
"NIFTY LARGEMIDCAP 250","13,964.60","1.00","13,887.75","13,972.15","13,887.05","13,826.85","13,773.85","14,014.50","13,532.40","9,727.45","14,059.40","5,635.20","42.14","2.18"
"NIFTY MIDCAP SELECT","10,899.05","0.67","10,870.05","10,913.70","10,860.75","10,826.55","10,751.15","11,066.55","10,602.60","6,872.70","11,119.85","5,520.25","57.53","2.11"
"NIFTY TOTAL MARKET","11,428.75","1.14","11,347.80","11,435.05","11,347.30","11,300.30","11,257.50","11,428.30","11,019.15","8,164.90","11,457.15","6,252.10","38.40","2.55"
"NIFTY MICROCAP 250","20,357.85","0.70","20,369.45","20,468.00","20,341.85","20,216.55","19,971.55","20,553.75","20,136.75","10,487.35","21,003.40","5,802.95","92.77","0.40"
"NIFTY BANK","47,009.10","1.93","46,218.00","47,082.60","46,218.00","46,120.90","45,963.15","46,811.75","45,367.75","40,698.15","48,636.45","38,613.15","13.32","1.66"
"NIFTY AUTO","20,754.70","1.68","20,485.75","20,761.75","20,473.30","20,412.40","20,372.35","20,621.35","18,878.35","12,849.30","20,830.40","11,901.85","58.86","8.13"
"NIFTY FINANCIAL SERVICES","20,751.35","1.68","20,446.10","20,785.80","20,446.10","20,407.90","20,340.40","20,677.10","20,285.50","18,100.30","21,627.35","17,261.30","12.75","0.60"
"NIFTY FINANCIAL SERVICES 25/50","22,557.80","1.49","22,299.30","22,600.05","22,299.15","22,226.95","22,078.20","22,481.80","22,095.00","17,344.05","-","-","28.15","0.60"
"NIFTY FMCG","54,410.05","0.73","54,272.85","54,559.65","54,062.60","54,015.60","53,824.90","54,337.75","54,574.35","45,062.55","57,966.70","44,392.05","19.87","-1.02"
"NIFTY IT","37,615.15","-0.28","37,823.70","37,888.85","37,594.60","37,720.40","37,741.75","38,045.65","36,381.95","30,097.75","38,559.85","26,184.45","25.33","3.68"
"NIFTY MEDIA","2,029.30","-1.01","2,042.35","2,060.05","2,019.00","2,049.95","2,068.75","2,164.30","2,143.45","1,737.60","2,508.60","1,636.65","17.98","-4.36"
"NIFTY METAL","8,154.70","2.94","7,992.80","8,198.80","7,990.75","7,921.90","7,850.35","8,047.75","7,864.00","5,477.70","8,348.25","5,304.45","44.62","0.74"
"NIFTY PHARMA","18,978.20","-0.13","19,058.00","19,060.45","18,925.10","19,003.15","18,942.55","19,048.40","17,470.15","11,764.60","19,134.80","11,542.45","61.53","8.77"
"NIFTY PSU BANK","7,038.90","1.57","6,978.85","7,063.95","6,952.35","6,929.85","6,840.60","7,076.05","6,132.45","3,767.20","7,281.75","3,528.75","83.95","13.00"
"NIFTY PRIVATE BANK","23,556.55","1.96","23,155.10","23,593.75","23,155.10","23,104.70","23,019.00","23,430.85","23,324.95","20,795.85","25,009.90","19,592.90","11.10","-0.94"
"NIFTY REALTY","914.15","0.40","913.20","919.65","907.25","910.55","909.50","918.75","837.10","397.75","932.10","370.65","128.93","8.77"
"NIFTY HEALTHCARE INDEX","11,867.00","-0.70","11,972.40","11,972.65","11,812.60","11,950.95","12,025.60","12,159.00","11,105.50","7,511.75","12,201.50","6,482.80","59.10","7.61"
"NIFTY CONSUMER DURABLES","32,486.15","1.37","32,152.10","32,512.80","32,036.30","32,046.90","31,983.90","32,080.40","31,074.65","24,162.30","32,590.20","14,089.55","32.63","3.13"
"NIFTY OIL & GAS","11,685.25","1.99","11,544.25","11,705.25","11,538.20","11,457.50","11,441.60","11,756.30","10,656.35","7,015.20","12,074.30","4,632.70","63.32","7.52"
